Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
1,79.28,8.84,76.96,26.04,,0.29,84.16,,-79.38,0,0.21,,139.2,4.03,28.60839,-80.5998,,,,,,,,,,,,99.72,293.16,
2,158.78,9.21,80.58,26.07,,0.28,83.68,,-52.46,0.01,0.44,,258.03,16.82,28.6084,-80.59993,,,,,,,,,,,,98.34,292.56,
3,241.63,9.52,83.68,26.12,,0.26,83.39,,-13.05,0.01,0.68,,457.54,39.56,28.6084,-80.60016,,,,,,,,,,,,96.06,291.51,
4,325.67,9.53,83.75,26.18,,0.25,83.21,,40.32,0.02,0.93,,740.14,72.88,28.60841,-80.6005,,,,,,,,,,,,92.89,316.5,
5,398.91,7.93,68.07,26.24,,0.24,83.03,,106.84,0.02,1.15,,1102.01,116.58,28.60842,-80.60095,,,,,,,,,,,,88.97,391.48,
6,470.01,8.54,74.04,26.3,,0.22,82.79,,178.1,0.02,1.36,,1533.09,170.12,28.60844,-80.6015,,,,,,,,,,,,84.47,461.72,
7,514.25,0.58,4.44,0,,0.21,82.59,,-107.46,0.02,1.54,,2033.29,234.3,28.60846,-80.60215,,,,,,,,,,,,79.5,518.87,
8.02,477.84,2.31,32.39,0,,0.17,82.43,,-69.11,0,1.43,,2533.58,300.06,28.60848,-80.60283,,,,,,,,,,,,74.76,481.35,
9.02,463.58,0.68,3.29,4.56,,0.17,82.27,,-50.11,0,1.39,,2996.61,362.25,28.6085,-80.60346,,,,,,,,,,,,70.6,463.89,
10.02,461.43,0.81,2.24,4.56,,0.16,82.1,,-40.41,0,1.39,,3454.69,425.13,28.60852,-80.60411,,,,,,,,,,,,66.68,461.61,
11.02,460.45,0.92,1.52,4.55,,0.16,81.93,,-35.28,0,1.39,,3911.05,489.16,28.60854,-80.60476,,,,,,,,,,,,62.96,460.5,
12.04,460.56,1.03,1.47,4.55,,0.16,81.75,,-32.44,0,1.4,,4375.91,555.85,28.60856,-80.60545,,,,,,,,,,,,59.34,460.5,
13.04,461.66,1.13,1.99,4.55,,0.16,81.56,,-30.89,0,1.41,,4832.06,622.75,28.60858,-80.60613,,,,,,,,,,,,55.97,461.5,
14.06,463.72,1.22,2.71,4.55,,0.16,81.38,,-29.98,0,1.42,,5298.73,692.71,28.60859,-80.60685,,,,,,,,,,,,52.68,463.45,
15.06,466.57,1.3,3.44,4.55,,0.15,81.19,,-29.47,0,1.44,,5758.46,763.17,28.60861,-80.60757,,,,,,,,,,,,49.6,466.22,
16.1,470.38,1.38,4.19,4.54,,0.15,80.99,,-29.15,0,1.46,,6239.75,838.57,28.60863,-80.60834,,,,,,,,,,,,46.54,469.94,
17.1,474.78,1.45,4.88,4.54,,0.15,80.8,,-28.96,0,1.48,,6706.36,913.29,28.60865,-80.60911,,,,,,,,,,,,43.72,474.26,
18.1,479.87,1.52,5.53,4.54,,0.15,80.61,,-28.85,0,1.5,,7177.41,990.33,28.60867,-80.60989,,,,,,,,,,,,41.01,479.28,
19.1,485.62,1.59,6.15,4.53,,0.15,80.41,,-28.79,0,1.53,,7653.55,1069.87,28.60869,-80.61071,,,,,,,,,,,,38.42,484.96,
20.1,491.96,1.65,6.73,4.53,,0.14,80.22,,-28.75,0,1.56,,8135.38,1152.04,28.60872,-80.61155,,,,,,,,,,,,35.93,491.24,
21.12,499.02,1.7,7.29,4.53,,0.14,80.01,,-28.72,0,1.59,,8633.29,1238.74,28.60874,-80.61244,,,,,,,,,,,,33.5,498.23,
22.12,506.49,1.76,7.82,4.52,,0.14,79.81,,-28.71,0,1.63,,9128.29,1326.71,28.60876,-80.61334,,,,,,,,,,,,31.22,505.64,
23.14,514.66,1.81,8.37,4.52,,0.14,79.61,,-28.7,0,1.67,,9640.73,1419.63,28.60878,-80.61429,,,,,,,,,,,,28.99,513.75,
24.14,523.23,1.87,8.92,4.52,,0.14,79.41,,-28.7,0,1.71,,10151.03,1514.02,28.60881,-80.61526,,,,,,,,,,,,26.91,522.26,
25.16,532.55,1.93,9.5,4.52,,0.13,79.2,,-28.71,0,1.75,,10680.15,1613.82,28.60883,-80.61628,,,,,,,,,,,,24.88,531.51,
26.16,542.28,1.99,10.09,4.51,,0.13,79,,-28.71,0,1.79,,11207.91,1715.29,28.60886,-80.61732,,,,,,,,,,,,22.99,541.18,
27.18,552.86,2.05,10.74,4.51,,0.13,78.8,,-28.71,0,1.84,,11756.02,1822.68,28.60888,-80.61842,,,,,,,,,,,,21.16,551.69,
28.18,563.91,2.12,11.42,4.51,,0.13,78.6,,-28.72,0,1.89,,12303.62,1931.97,28.60891,-80.61954,,,,,,,,,,,,19.45,562.66,
29.18,575.68,2.2,12.17,4.51,,0.13,78.4,,-28.72,0,1.94,,12862.01,2045.44,28.60894,-80.6207,,,,,,,,,,,,17.84,574.35,
30.2,588.52,2.28,13,4.51,,0.12,78.19,,-28.73,0,2,,13443.45,2165.72,28.60896,-80.62193,,,,,,,,,,,,16.28,587.09,
31.2,601.98,2.37,13.88,4.51,,0.12,77.99,,-28.73,0,2.05,,14025.94,2288.32,28.60899,-80.62319,,,,,,,,,,,,14.85,600.46,
32.2,616.35,2.47,14.8,4.51,,0.12,77.8,,-28.73,0,2.11,,14621.61,2415.84,28.60902,-80.62449,,,,,,,,,,,,13.5,614.79,
33.2,631.67,2.56,15.75,4.5,,0.12,77.6,,-28.74,0,2.18,,15231.36,2548.53,28.60905,-80.62585,,,,,,,,,,,,12.23,630.16,
34.22,648.3,2.66,16.76,4.5,,0.12,77.4,,-28.74,0,2.24,,15868.74,2689.51,28.60909,-80.62729,,,,,,,,,,,,11.03,647.03,
35.22,665.66,2.77,17.8,4.5,,0.11,77.21,,-28.74,0,2.31,,16509.74,2833.56,28.60912,-80.62877,,,,,,,,,,,,9.93,664.84,
36.24,684.47,2.88,18.92,4.5,,0.11,77.02,,-28.74,0,2.37,,17181.05,2986.76,28.60916,-80.63034,,,,,,,,,,,,8.9,684.44,
37.24,704.05,3,20.05,4.5,,0.11,76.83,,-28.74,0,2.44,,17857.4,3143.45,28.60919,-80.63194,,,,,,,,,,,,7.96,705.18,
38.24,724.79,3.12,21.22,4.5,,0.11,76.65,,-28.74,0,2.5,,18552.86,3306.92,28.60923,-80.63362,,,,,,,,,,,,7.11,727.55,
39.26,747.18,3.24,22.44,4.5,,0.11,76.46,,-28.74,0,2.57,,19283.1,3481.01,28.60927,-80.6354,,,,,,,,,,,,6.32,752.2,
40.28,770.83,3.37,23.69,4.5,,0.1,76.28,,-28.73,0,2.64,,20035.6,3662.93,28.60931,-80.63726,,,,,,,,,,,,5.6,778.88,
41.3,795.78,3.5,24.96,4.5,,0.1,76.1,,-28.73,0,2.71,,20811.6,3853.08,28.60935,-80.63921,,,,,,,,,,,,4.94,807.85,
42.32,822.04,3.63,26.25,4.5,,0.1,75.93,,-28.73,0,2.79,,21612.37,4051.88,28.6094,-80.64125,,,,,,,,,,,,4.35,839.4,
43.34,849.64,3.76,27.57,4.5,,0.1,75.76,,-28.72,0,2.87,,22439.17,4259.76,28.60945,-80.64338,,,,,,,,,,,,3.82,873.89,
44.34,878.02,3.9,28.88,4.5,,0.1,75.59,,-28.72,0,2.95,,23276.3,4472.81,28.60949,-80.64556,,,,,,,,,,,,3.35,910.92,
45.34,907.74,4.03,30.23,4.5,,0.09,75.43,,-28.71,0,3.04,,24140.96,4695.45,28.60954,-80.64784,,,,,,,,,,,,2.93,951.53,
46.34,938.83,4.17,31.61,4.5,,0.09,75.28,,-28.71,0,3.13,,25034.41,4928.1,28.6096,-80.65022,,,,,,,,,,,,2.56,996.16,
47.36,971.99,4.32,33.05,4.5,,0.09,75.12,,-28.7,0,3.23,,25976.77,5176.19,28.60965,-80.65276,,,,,,,,,,,,2.21,1046.33,
48.36,1005.96,4.47,34.51,4.5,,0.09,74.97,,-28.7,0,3.33,,26932.44,5430.48,28.60971,-80.65536,,,,,,,,,,,,1.91,1100.61,
49.38,1042.15,4.62,36.04,4.5,,0.09,74.82,,-28.69,0,3.44,,27941.1,5701.63,28.60977,-80.65814,,,,,,,,,,,,1.65,1161.73,
50.38,1060.43,0,9.74,0,,0.08,74.68,,-28.69,0,3.5,,28961.2,5978.58,28.60983,-80.66098,,,,,,,,,,,,1.41,1202.53,
51.38,1046.47,0.45,13.97,0,,0.08,74.53,,-28.68,0,3.44,,29976.63,6256.94,28.60989,-80.66383,,,,,,,,,,,,1.22,1171.78,
52.4,1033,0.37,13.26,0,,0.08,74.38,,-28.68,0,3.38,,30998.18,6539.74,28.60996,-80.66672,,,,,,,,,,,,1.05,1143.31,
53.4,1020.43,0.31,12.69,0,,0.08,74.23,,-28.67,0,3.32,,31986.44,6816.09,28.61002,-80.66955,,,,,,,,,,,,0.91,1117.86,
54.4,1008.37,0.26,12.21,0,,0.08,74.08,,-28.66,0,3.27,,32962.12,7091.67,28.61008,-80.67238,,,,,,,,,,,,0.79,1094.46,
55.4,996.76,0.22,11.82,0,,0.08,73.92,,-28.66,0,3.21,,33925.69,7366.6,28.61014,-80.67519,,,,,,,,,,,,0.69,1072.79,
56.42,985.29,0.19,11.48,0,,0.08,73.76,,-28.65,0,3.16,,34896.43,7646.47,28.6102,-80.67806,,,,,,,,,,,,0.6,1052.18,
57.44,974.15,0.16,11.19,0,,0.08,73.59,,-28.65,0,3.11,,35855.29,7925.87,28.61026,-80.68092,,,,,,,,,,,,0.52,1032.9,
58.44,963.49,0.13,10.95,0,,0.08,73.42,,-28.64,0,3.07,,36784.1,8199.4,28.61032,-80.68372,,,,,,,,,,,,0.46,1015.12,
59.44,953.06,0.11,10.75,0,,0.08,73.25,,-28.63,0,3.02,,37702,8472.61,28.61038,-80.68652,,,,,,,,,,,,0.41,998.33,
60.46,942.62,0.09,10.58,0,,0.08,73.07,,-28.63,0,2.97,,38627.21,8751.01,28.61044,-80.68937,,,,,,,,,,,,0.36,982.11,
61.46,932.55,0.08,10.43,0,,0.08,72.9,,-28.62,0,2.93,,39523.62,9023.73,28.6105,-80.69216,,,,,,,,,,,,0.32,966.99,
62.48,922.43,0.07,10.3,0,,0.08,72.71,,-28.61,0,2.88,,40427.24,9301.72,28.61057,-80.69501,,,,,,,,,,,,0.28,952.28,
63.5,912.44,0.05,10.19,0,,0.08,72.52,,-28.61,0,2.84,,41320.16,9579.55,28.61063,-80.69785,,,,,,,,,,,,0.25,938.23,
64.52,902.56,0.05,10.11,0,,0.08,72.33,,-28.6,0,2.8,,42202.48,9857.26,28.61069,-80.7007,,,,,,,,,,,,0.22,924.76,
