Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
1,82.85,9.09,80.76,26.16,,0.28,60.22,,-86.95,-0.01,0.22,,136.77,20.89,28.60838,-80.59996,,,,,,,,,,,,99.74,294.06,
2.02,167.96,9.48,84.82,26.19,,0.27,57.91,,-79.56,0,0.46,,246.61,87.41,28.60838,-80.60064,,,,,,,,,,,,98.47,293.49,
3.02,254.97,9.79,87.98,26.23,,0.26,56.44,,-71.78,0.01,0.72,,424.57,202.81,28.60838,-80.60182,,,,,,,,,,,,96.42,292.52,
4.02,342.39,9.63,86.57,26.29,,0.24,55.37,,-62.95,0,0.97,,672.64,371.19,28.60837,-80.60355,,,,,,,,,,,,93.63,333.07,
5.04,417.61,8.03,70.98,26.34,,0.23,54.49,,-56.33,0,1.2,,991.15,595.14,28.60836,-80.60584,,,,,,,,,,,,90.14,409.79,
6.04,493.86,8.86,79.23,26.4,,0.22,53.76,,-54.93,0,1.43,,1360.27,862.37,28.60834,-80.60858,,,,,,,,,,,,86.24,485.12,
7.06,529.47,2.56,33.46,0,,0.21,53.1,,-52.39,0,1.58,,1791.4,1182.39,28.60833,-80.61186,,,,,,,,,,,,81.86,534.29,
8.06,492.02,2.76,35.34,0,,0.16,52.43,,-58.31,0,1.47,,2197.03,1490.63,28.60831,-80.61501,,,,,,,,,,,,77.89,495.79,
9.08,477.7,0.44,6.99,4.58,,0.16,51.69,,-61.55,0,1.42,,2584.08,1792.38,28.60829,-80.61811,,,,,,,,,,,,74.27,478.06,
10.08,475.24,0.56,6.54,4.58,,0.16,50.95,,-63.1,0,1.42,,2955.85,2090.04,28.60827,-80.62115,,,,,,,,,,,,70.94,475.45,
11.1,473.98,0.68,6.36,4.58,,0.15,50.17,,-63.89,0,1.42,,3329.56,2397.43,28.60825,-80.6243,,,,,,,,,,,,67.71,474.06,
12.12,473.87,0.78,6.4,4.58,,0.15,49.39,,-64.29,0,1.43,,3698.52,2709.43,28.60823,-80.6275,,,,,,,,,,,,64.65,473.83,
13.12,474.78,0.87,6.61,4.58,,0.15,48.6,,-64.49,0,1.43,,4056.35,3020.49,28.60822,-80.63069,,,,,,,,,,,,61.79,474.64,
14.14,476.65,0.96,6.93,4.57,,0.15,47.8,,-64.6,0,1.44,,4417.95,3343.74,28.6082,-80.634,,,,,,,,,,,,59.01,476.41,
15.14,479.34,1.03,7.31,4.57,,0.15,47,,-64.66,0,1.46,,4769.67,3667.13,28.60818,-80.63731,,,,,,,,,,,,56.4,479,
