Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
1,118.75,12.66,114.57,52.33,,0.4,78.8,,-87.65,0.01,0.31,,159.75,11.8,28.60839,-80.59987,,,,,,,,,,,,99.48,293.91,
2,238.39,13.39,121.71,52.42,,0.38,78.17,,-82.26,0.01,0.66,,335.31,47.68,28.60839,-80.60024,,,,,,,,,,,,97.46,292.98,
3,359.25,13.04,118.37,52.55,,0.35,77.74,,-77.52,0,1.01,,629.36,110.51,28.60839,-80.60088,,,,,,,,,,,,94.14,346.6,
4.02,468.28,12.01,108.22,52.71,,0.32,77.39,,-82.66,0,1.34,,1042.41,201.63,28.60839,-80.60182,,,,,,,,,,,,89.62,456.15,
5.04,582.73,12.35,111.63,52.84,,0.29,77.09,,-95.61,0,1.68,,1566.42,320.35,28.60838,-80.60303,,,,,,,,,,,,84.16,570.52,
6.06,693.31,11.88,106.98,52.95,,0.27,76.81,,-112.18,0,2.02,,2201.86,467.69,28.60838,-80.60454,,,,,,,,,,,,77.91,681.61,
7.06,726.1,6.68,75.06,0,,0.25,76.56,,-130.22,0,2.2,,2915.09,636.44,28.60838,-80.60627,,,,,,,,,,,,71.36,736.45,
8.08,660.99,4.25,51.23,0,,0.16,76.35,,-161.07,0,2,,3598.27,800.96,28.60838,-80.60795,,,,,,,,,,,,65.52,666.5,
9.08,633.19,0.74,16.89,4.58,,0.16,76.13,,-176.48,0,1.92,,4223.02,953.87,28.60838,-80.60952,,,,,,,,,,,,60.54,634.97,
10.08,619,0.38,13.39,4.57,,0.16,75.91,,175.98,0,1.89,,4830.15,1104.91,28.60839,-80.61107,,,,,,,,,,,,56,620.4,
11.08,607.96,0.07,10.46,4.57,,0.15,75.68,,172.09,0,1.87,,5424.53,1255.27,28.60839,-80.61261,,,,,,,,,,,,51.84,609.04,
12.08,599.61,0.19,8.01,4.57,,0.15,75.44,,169.97,0,1.85,,6008.96,1405.63,28.6084,-80.61415,,,,,,,,,,,,48,600.41,
13.1,593.46,0.42,5.93,4.56,,0.15,75.19,,168.75,0,1.85,,6597.31,1559.66,28.6084,-80.61573,,,,,,,,,,,,44.37,594.02,
14.1,589.47,0.61,4.28,4.56,,0.15,74.94,,168.05,0,1.85,,7168.61,1711.86,28.60841,-80.61729,,,,,,,,,,,,41.07,589.83,
15.12,587.24,0.79,3.1,4.55,,0.15,74.68,,167.62,0,1.85,,7747.6,1868.87,28.60841,-80.61889,,,,,,,,,,,,37.93,587.4,
16.12,586.64,0.94,2.65,4.55,,0.14,74.42,,167.35,0,1.87,,8313.21,2024.99,28.60842,-80.62049,,,,,,,,,,,,35.05,586.63,
17.12,587.47,1.09,2.97,4.55,,0.14,74.16,,167.18,0,1.88,,8878.22,2183.71,28.60843,-80.62212,,,,,,,,,,,,32.36,587.31,
18.14,589.69,1.22,3.75,4.54,,0.14,73.89,,167.06,0,1.91,,9455.29,2348.72,28.60843,-80.62381,,,,,,,,,,,,29.79,589.39,
19.14,593.12,1.34,4.7,4.54,,0.14,73.62,,166.99,0,1.93,,10023,2513.94,28.60844,-80.6255,,,,,,,,,,,,27.42,592.68,
20.14,597.74,1.46,5.72,4.54,,0.14,73.35,,166.93,0,1.96,,10593.79,2682.99,28.60845,-80.62723,,,,,,,,,,,,25.21,597.17,
21.16,603.65,1.58,6.79,4.54,,0.13,73.07,,166.9,0,2,,11180.3,2859.76,28.60845,-80.62904,,,,,,,,,,,,23.09,602.95,
22.18,610.75,1.7,7.88,4.53,,0.13,72.78,,166.87,0,2.04,,11772.3,3041.33,28.60846,-80.6309,,,,,,,,,,,,21.11,609.93,
23.2,619.02,1.81,8.96,4.53,,0.13,72.5,,166.86,0,2.08,,12370.89,3228.12,28.60847,-80.63282,,,,,,,,,,,,19.25,618.1,
24.2,628.27,1.92,10.04,4.53,,0.13,72.22,,166.84,0,2.12,,12965.21,3416.75,28.60848,-80.63475,,,,,,,,,,,,17.55,627.27,
25.2,638.61,2.03,11.11,4.53,,0.13,71.95,,166.84,0,2.17,,13567.93,3611.23,28.60849,-80.63674,,,,,,,,,,,,15.97,637.62,
26.22,650.31,2.15,12.21,4.53,,0.12,71.67,,166.83,0,2.23,,14192.42,3816.08,28.6085,-80.63884,,,,,,,,,,,,14.46,649.44,
27.24,663.16,2.26,13.32,4.53,,0.12,71.39,,166.82,0,2.28,,14827.78,4027.93,28.6085,-80.64101,,,,,,,,,,,,13.06,662.61,
28.26,677.18,2.38,14.45,4.53,,0.12,71.11,,166.82,0,2.34,,15475.09,4247.24,28.60851,-80.64326,,,,,,,,,,,,11.76,677.19,
29.26,692.09,2.5,15.6,4.52,,0.12,70.84,,166.82,0,2.4,,16122.34,4469.97,28.60853,-80.64554,,,,,,,,,,,,10.58,692.94,
