Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
1.02,83.52,9.1,79.67,26.16,,0.28,77.96,,-86.69,0,0.22,,141.75,8.96,28.60839,-80.59984,,,,,,,,,,,,99.69,294.24,
2.02,165.86,9.49,83.51,26.19,,0.27,77,,-78.63,0,0.46,,263.91,36.35,28.60838,-80.60012,,,,,,,,,,,,98.27,293.59,
3.02,251.67,9.8,86.66,26.24,,0.26,76.35,,-69.64,0,0.71,,467.61,84.81,28.60838,-80.60062,,,,,,,,,,,,95.94,292.47,
4.02,338.22,9.72,85.86,26.3,,0.24,75.89,,-59.14,0,0.96,,754.93,155.97,28.60838,-80.60135,,,,,,,,,,,,92.73,328.91,
5.04,413.29,8.11,70.13,26.37,,0.23,75.5,,-49.88,0,1.19,,1128.14,251.28,28.60837,-80.60232,,,,,,,,,,,,88.69,405.56,
6.06,490.24,8.97,78.51,26.42,,0.22,75.16,,-45.58,0,1.42,,1573.8,368.04,28.60837,-80.60352,,,,,,,,,,,,84.06,481.54,
7.08,523.41,3,38.96,0,,0.21,74.87,,-39.9,0,1.57,,2087.98,505.69,28.60836,-80.60493,,,,,,,,,,,,78.97,528.21,
8.08,486.48,2.61,35.11,0,,0.16,74.57,,-43.68,0,1.46,,2574.13,638.45,28.60835,-80.60629,,,,,,,,,,,,74.39,490.27,
9.1,476.27,0.56,4.74,4.58,,0.16,74.24,,-45.71,0,1.43,,3044.54,769.73,28.60834,-80.60764,,,,,,,,,,,,70.18,476.68,
10.1,473.4,0.71,3.69,4.58,,0.16,73.91,,-46.72,0,1.42,,3501,899.96,28.60833,-80.60897,,,,,,,,,,,,66.29,473.65,
11.1,471.87,0.84,3.04,4.58,,0.15,73.57,,-47.26,0,1.42,,3954.6,1032.26,28.60833,-80.61032,,,,,,,,,,,,62.61,471.98,
12.1,471.54,0.96,2.87,4.57,,0.15,73.22,,-47.56,0,1.43,,4406.51,1167.02,28.60832,-80.61171,,,,,,,,,,,,59.11,471.52,
13.12,472.34,1.07,3.13,4.57,,0.15,72.85,,-47.73,0,1.44,,4866.85,1307.4,28.60831,-80.61314,,,,,,,,,,,,55.72,472.21,
14.12,474.15,1.16,3.64,4.57,,0.15,72.49,,-47.83,0,1.45,,5318.54,1448.26,28.6083,-80.61459,,,,,,,,,,,,52.55,473.9,
