Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
1.02,83.66,8.87,77.4,26.04,,0.29,77.76,,-90.06,0.01,0.22,,143.47,9.39,28.60839,-80.59984,,,,,,,,,,,,99.67,294.54,
2.02,163.59,9.23,81.05,26.07,,0.27,76.79,,-90.08,0,0.45,,264.49,36.95,28.60839,-80.60012,,,,,,,,,,,,98.27,293.89,
3.02,246.85,9.54,84.09,26.12,,0.26,76.13,,-90.08,0,0.69,,464.54,85.35,28.60838,-80.60062,,,,,,,,,,,,95.98,292.78,
4.02,331.08,9.51,83.83,26.18,,0.25,75.64,,-90.09,0,0.94,,745.66,156.2,28.60838,-80.60134,,,,,,,,,,,,92.83,321.93,
5.04,405.06,7.89,67.99,26.24,,0.23,75.25,,-90.09,0,1.17,,1111.09,251.2,28.60838,-80.60232,,,,,,,,,,,,88.87,397.61,
6.06,478.52,8.62,75.15,26.3,,0.22,74.91,,-90.09,0,1.39,,1546.38,367.31,28.60838,-80.6035,,,,,,,,,,,,84.34,470.14,
7.08,510.22,3.05,39.4,0,,0.21,74.6,,-90.1,0,1.52,,2047.22,503.84,28.60838,-80.6049,,,,,,,,,,,,79.36,514.75,
8.08,475.51,2.3,32.11,0,,0.17,74.29,,-89.37,0,1.42,,2520.9,635.63,28.60838,-80.60625,,,,,,,,,,,,74.87,478.96,
9.08,464.27,0.68,3.86,4.56,,0.17,73.96,,-88.6,0,1.39,,2969.91,763.29,28.60837,-80.60756,,,,,,,,,,,,70.83,464.55,
10.1,462.35,0.8,3.16,4.56,,0.16,73.61,,-88.2,0,1.39,,3423.55,895.2,28.60837,-80.60891,,,,,,,,,,,,66.93,462.5,
11.12,461.62,0.92,2.86,4.55,,0.16,73.25,,-87.99,0,1.39,,3875.09,1029.52,28.60837,-80.61029,,,,,,,,,,,,63.24,461.64,
12.12,461.97,1.02,2.96,4.55,,0.16,72.89,,-87.89,0,1.4,,4316.78,1163.92,28.60836,-80.61167,,,,,,,,,,,,59.79,461.88,
13.12,463.28,1.11,3.35,4.55,,0.16,72.53,,-87.84,0,1.41,,4758.42,1301.35,28.60836,-80.61307,,,,,,,,,,,,56.5,463.09,
14.12,465.47,1.2,3.88,4.55,,0.16,72.16,,-87.81,0,1.42,,5200.86,1442.14,28.60836,-80.61452,,,,,,,,,,,,53.36,465.19,
15.16,468.63,1.28,4.5,4.55,,0.15,71.76,,-87.8,0,1.44,,5662.65,1592.48,28.60835,-80.61606,,,,,,,,,,,,50.23,468.25,
16.16,472.44,1.36,5.11,4.54,,0.15,71.38,,-87.8,0,1.46,,6109.02,1741.12,28.60835,-80.61758,,,,,,,,,,,,47.35,471.99,
17.2,477.17,1.43,5.74,4.54,,0.15,70.98,,-87.8,0,1.48,,6576.38,1900.3,28.60834,-80.61921,,,,,,,,,,,,44.48,476.64,
18.22,482.52,1.5,6.35,4.54,,0.15,70.58,,-87.8,0,1.51,,7038.52,2061.29,28.60834,-80.62086,,,,,,,,,,,,41.79,481.91,
19.28,488.77,1.56,6.95,4.53,,0.15,70.17,,-87.81,0,1.53,,7523.38,2234.05,28.60833,-80.62263,,,,,,,,,,,,39.11,488.09,
20.32,495.54,1.62,7.5,4.53,,0.14,69.76,,-87.81,0,1.57,,8004.22,2409.28,28.60832,-80.62442,,,,,,,,,,,,36.59,494.8,
21.34,502.76,1.67,8.02,4.53,,0.14,69.35,,-87.82,0,1.6,,8481.28,2586.97,28.60832,-80.62624,,,,,,,,,,,,34.23,501.95,
22.34,510.36,1.72,8.52,4.53,,0.14,68.95,,-87.83,0,1.63,,8954.68,2767.08,28.60831,-80.62809,,,,,,,,,,,,32,509.5,
23.38,518.81,1.77,9.04,4.52,,0.14,68.54,,-87.84,0,1.67,,9453.45,2960.88,28.6083,-80.63007,,,,,,,,,,,,29.79,517.89,
24.38,527.47,1.82,9.55,4.52,,0.14,68.14,,-87.85,0,1.71,,9939.65,3153.78,28.60829,-80.63205,,,,,,,,,,,,27.76,526.49,
25.4,536.87,1.88,10.09,4.52,,0.13,67.73,,-87.85,0,1.76,,10442.72,3357.46,28.60828,-80.63414,,,,,,,,,,,,25.77,535.83,
26.4,546.65,1.93,10.65,4.52,,0.13,67.33,,-87.86,0,1.8,,10943.36,3564.26,28.60827,-80.63625,,,,,,,,,,,,23.92,545.54,
27.4,557.03,1.99,11.24,4.51,,0.13,66.93,,-87.87,0,1.85,,11451.84,3778.43,28.60826,-80.63845,,,,,,,,,,,,22.16,555.86,
28.4,568.05,2.06,11.89,4.51,,0.13,66.53,,-87.87,0,1.9,,11968.65,4000.33,28.60825,-80.64072,,,,,,,,,,,,20.48,566.81,
29.42,580.02,2.13,12.6,4.51,,0.13,66.13,,-87.88,0,1.95,,12504.93,4235.03,28.60824,-80.64312,,,,,,,,,,,,18.85,578.69,
30.42,592.53,2.21,13.38,4.51,,0.12,65.74,,-87.88,0,2,,13040.26,4473.73,28.60823,-80.64557,,,,,,,,,,,,17.34,591.12,
31.44,606.16,2.29,14.23,4.51,,0.12,65.34,,-87.89,0,2.06,,13596.73,4726.46,28.60822,-80.64816,,,,,,,,,,,,15.89,604.66,
32.44,620.41,2.38,15.1,4.51,,0.12,64.95,,-87.9,0,2.12,,14153.22,4983.8,28.6082,-80.65079,,,,,,,,,,,,14.55,618.87,
33.44,635.56,2.47,16,4.51,,0.12,64.57,,-87.9,0,2.18,,14721.27,5251.11,28.60819,-80.65353,,,,,,,,,,,,13.28,634.1,
34.48,652.33,2.57,16.97,4.5,,0.12,64.17,,-87.9,0,2.25,,15325.1,5540.25,28.60817,-80.6565,,,,,,,,,,,,12.04,651.14,
35.52,670.15,2.67,18,4.5,,0.11,63.78,,-87.91,0,2.32,,15943.09,5841.36,28.60816,-80.65958,,,,,,,,,,,,10.89,669.54,
36.52,688.36,2.78,19.04,4.5,,0.11,63.41,,-87.91,0,2.39,,16551.52,6142.79,28.60814,-80.66267,,,,,,,,,,,,9.86,688.64,
37.52,707.65,2.89,20.13,4.5,,0.11,63.05,,-87.92,0,2.46,,17174.75,6456.49,28.60813,-80.66588,,,,,,,,,,,,8.9,709.26,
38.54,728.51,3,21.28,4.5,,0.11,62.68,,-87.92,0,2.52,,17826.61,6789.8,28.60811,-80.66929,,,,,,,,,,,,8,732,
39.58,751.03,3.13,22.5,4.5,,0.1,62.31,,-87.92,0,2.6,,18509.07,7144.22,28.60809,-80.67293,,,,,,,,,,,,7.16,757.14,
40.58,773.92,3.25,23.71,4.5,,0.1,61.97,,-87.92,0,2.66,,19183.23,7499.62,28.60807,-80.67657,,,,,,,,,,,,6.42,783.33,
41.58,798.05,3.37,24.95,4.5,,0.1,61.63,,-87.93,0,2.74,,19875.98,7870.08,28.60805,-80.68036,,,,,,,,,,,,5.74,811.73,
42.6,823.98,3.5,26.25,4.5,,0.1,61.29,,-87.93,0,2.81,,20602.76,8264.24,28.60803,-80.6844,,,,,,,,,,,,5.11,843.25,
43.6,850.72,3.63,27.54,4.5,,0.1,60.96,,-87.93,0,2.89,,21336.11,8667.42,28.608,-80.68853,,,,,,,,,,,,4.55,877,
44.62,879.35,3.77,28.89,4.5,,0.09,60.64,,-87.93,0,2.98,,22106.42,9096.56,28.60798,-80.69292,,,,,,,,,,,,4.03,914.76,
45.64,909.39,3.91,30.27,4.5,,0.09,60.32,,-87.93,0,3.07,,22900.37,9544.63,28.60795,-80.69751,,,,,,,,,,,,3.56,956.33,
46.66,940.87,4.05,31.68,4.5,,0.09,60.01,,-87.93,0,3.16,,23719.07,10012.51,28.60793,-80.70231,,,,,,,,,,,,3.13,1002.2,
47.7,974.5,4.2,33.17,4.5,,0.09,59.71,,-87.93,0,3.26,,24580.53,10510.9,28.6079,-80.70741,,,,,,,,,,,,2.74,1053.99,
48.7,1008.32,4.35,34.64,4.5,,0.09,59.42,,-87.93,0,3.36,,25435.45,11011.36,28.60787,-80.71254,,,,,,,,,,,,2.4,1109.15,
49.72,1044.39,4.51,36.19,4.5,,0.08,59.14,,-87.93,0,3.47,,26335.54,11544.24,28.60784,-80.718,,,,,,,,,,,,2.1,1171.52,
50.72,1042.73,0.66,15.67,0,,0.08,58.86,,-87.93,0,3.46,,27234.17,12082.07,28.60781,-80.72351,,,,,,,,,,,,1.83,1175.3,
51.74,1028.34,0.56,14.74,0,,0.08,58.57,,-87.93,0,3.4,,28136.61,12628.13,28.60778,-80.7291,,,,,,,,,,,,1.6,1145.02,
52.76,1014.84,0.48,13.97,0,,0.08,58.28,,-87.93,0,3.34,,29024.16,13171.26,28.60775,-80.73466,,,,,,,,,,,,1.4,1117.74,
53.78,1002.11,0.41,13.33,0,,0.08,57.98,,-87.92,0,3.29,,29897.53,13711.85,28.60771,-80.7402,,,,,,,,,,,,1.23,1092.93,
54.78,990.26,0.35,12.81,0,,0.08,57.68,,-87.92,0,3.24,,30740.58,14239.72,28.60768,-80.74561,,,,,,,,,,,,1.09,1070.65,
55.8,978.71,0.31,12.35,0,,0.08,57.37,,-87.92,0,3.19,,31587.54,14776.27,28.60765,-80.75111,,,,,,,,,,,,0.96,1049.77,
56.8,967.86,0.26,11.98,0,,0.08,57.06,,-87.92,0,3.14,,32405.6,15300.68,28.60762,-80.75648,,,,,,,,,,,,0.85,1030.83,
57.82,957.19,0.23,11.66,0,,0.08,56.73,,-87.92,0,3.09,,33227.84,15834.16,28.60759,-80.76194,,,,,,,,,,,,0.76,1012.87,
58.82,947.08,0.2,11.39,0,,0.08,56.41,,-87.92,0,3.05,,34022.3,16355.94,28.60756,-80.76729,,,,,,,,,,,,0.68,996.4,
59.84,937.07,0.17,11.15,0,,0.08,56.07,,-87.92,0,3.01,,34821.02,16887.07,28.60753,-80.77273,,,,,,,,,,,,0.61,980.59,
60.84,927.52,0.15,10.95,0,,0.08,55.74,,-87.92,0,2.97,,35592.91,17406.83,28.6075,-80.77805,,,,,,,,,,,,0.54,965.97,
61.84,918.21,0.13,10.78,0,,0.08,55.39,,-87.92,0,2.92,,36353.91,17925.77,28.60747,-80.78337,,,,,,,,,,,,0.49,952.12,
62.86,908.93,0.11,10.63,0,,0.08,55.04,,-87.91,0,2.88,,37119.09,18454.35,28.60744,-80.78878,,,,,,,,,,,,0.44,938.7,
63.86,900.02,0.1,10.5,0,,0.08,54.68,,-87.91,0,2.85,,37858.57,18971.92,28.60741,-80.79408,,,,,,,,,,,,0.4,926.17,
64.9,890.93,0.08,10.39,0,,0.08,54.3,,-87.91,0,2.81,,38616.54,19509.61,28.60738,-80.79959,,,,,,,,,,,,0.36,913.72,
